0.553333333	67	0.683333333	0.648438	G4 - vel 83
1.388730159	72	0.782290249	0.664063	C5 - vel 85
2.108526077	74	0.328140590	0.703125	D5 - vel 90
2.900204082	36	0.592698413	0.484375	C2 - vel 62
2.927278912	74	0.609387755	0.648438	D5 - vel 83
3.539773243	43	0.689591837	0.671875	G2 - vel 86
3.542902494	76	0.201043084	0.640625	E5 - vel 82
4.165827664	76	1.002086168	0.648438	E5 - vel 83
4.172063492	48	0.508344671	0.53125	C3 - vel 68
4.694988662	50	0.522925170	0.625	D3 - vel 80
5.248117914	52	1.046870748	0.484375	E3 - vel 62
6.000204082	72	0.324988662	0.53125	C5 - vel 68
6.247074830	74	0.274988662	0.601563	D5 - vel 77
6.518956916	76	0.548956916	0.65625	E5 - vel 84
7.103333333	40	0.467687075	0.515625	E2 - vel 66
7.130408163	74	0.442698413	0.695313	D5 - vel 89
7.622063492	79	0.137505669	0.59375	G5 - vel 76
7.634580499	47	0.544784580	0.546875	B2 - vel 70
8.199160998	52	1.459365079	0.570313	E3 - vel 73
8.207482993	79	2.135419501	0.617188	G5 - vel 79
9.610612245	59	0.296870748	0.515625	B3 - vel 66
10.307482993	64	0.926054422	0.40625	E4 - vel 52
11.887709751	55	0.530204082	0.648438	G3 - vel 83
12.624149660	59	1.014580499	0.460938	B3 - vel 59
